Rank,Player,Team,Position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Christian McCaffrey,SF,RB
4,Jaxon Smith-Njigba,SEA,WR
5,Amon-Ra St. Brown,DET,WR
6,Ja'Marr Chase,CIN,WR
7,CeeDee Lamb,DAL,WR
8,Justin Jefferson,MIN,WR
9,Kenneth Walker III,KC,RB
10,Derrick Henry,BAL,RB
11,Ashton Jeanty,LV,RB
12,Jonathan Taylor,IND,RB
13,James Cook,BUF,RB
14,Javonte Williams,DAL,RB
15,Saquon Barkley,PHI,RB
16,De'Von Achane,MIA,RB
17,Garrett Wilson,NYJ,WR
18,Chris Olave,NO,WR
19,George Pickens,DAL,WR
20,Kyren Williams,LAR,RB
21,Trey McBride,ARI,TE
22,Breece Hall,NYJ,RB
23,Chase Brown,CIN,RB
24,Bucky Irving,TB,RB
25,DJ Moore,BUF,WR
26,Malik Nabers,NYG,WR
27,DeVonta Smith,PHI,WR
28,Omarion Hampton,LAC,RB
29,Davante Adams,LAR,WR
30,Aaron Jones,MIN,RB
31,David Montgomery,HOU,RB
32,D'Andre Swift,CHI,RB
33,Tetairoa McMillan,CAR,WR
34,Christian Watson,GB,WR
35,Parker Washington,JAC,WR
36,Rashee Rice,KC,WR
37,Chuba Hubbard,CAR,RB
38,Jameson Williams,DET,WR
39,Jaylen Waddle,DEN,WR
40,Mike Evans,SF,WR
41,Rhamondre Stevenson,NE,RB
42,Emeka Egbuka,TB,WR
43,DK Metcalf,PIT,WR
44,Drake London,ATL,WR
45,Luther Burden,CHI,WR
46,Cam Skattebo,NYG,RB
47,Tee Higgins,CIN,WR
48,Jalen Coker,CAR,WR
49,Terry McLaurin,WAS,WR
50,Jadarian Price,SEA,RB
51,Stefon Diggs,WAS,WR
52,Ladd McConkey,LAC,WR
53,MarShawn Lloyd,GB,RB
54,Travis Etienne,NO,RB
55,Colston Loveland,CHI,TE
56,Matthew Golden,GB,WR
57,Dalton Kincaid,BUF,TE
58,Quentin Johnston,LAC,WR
59,Mark Andrews,BAL,TE
60,Deebo Samuel,SF,WR
