Rank,Player,Team,Position,Sources,Justin Boone (Sun 11:46 AM),Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:01 PM)
1,Josh Allen,BUF,QB,4,1,1,1,1
2,Lamar Jackson,BAL,QB,4,2,2,2,2
3,Dak Prescott,DAL,QB,4,3,3,3,3
4,Brock Purdy,SF,QB,4,4,4,6,5
5,Caleb Williams,CHI,QB,4,6,7,4,4
6,Jayden Daniels,WAS,QB,4,5,6,7,6
7,Jalen Hurts,PHI,QB,4,7,5,5,7
8,Justin Herbert,LAC,QB,4,8,10,8,9
9,Patrick Mahomes,KC,QB,4,9,8,10,10
10,Drake Maye,NE,QB,4,10,9,9,8
11,Jaxson Dart,NYG,QB,4,11,11,11,12
12,Trevor Lawrence,JAC,QB,4,12,13,12,17
13,Jared Goff,DET,QB,4,13,14,13,13
14,Matthew Stafford,LAR,QB,4,14,15,14,14
15,Jordan Love,GB,QB,4,17,16,15,11
16,Bo Nix,DEN,QB,4,18,12,16,15
17,Baker Mayfield,TB,QB,4,15,18,18,16
18,Joe Burrow,CIN,QB,4,16,17,17,18
19,Bryce Young,CAR,QB,4,19,20,19,19
20,Tyler Shough,NO,QB,4,20,19,20,21
21,C.J. Stroud,HOU,QB,4,21,21,21,20
22,Malik Willis,MIA,QB,4,23,22,22,22
23,Carson Wentz,MIN,QB,4,22,23,23,23
24,Daniel Jones,IND,QB,4,24,24,24,24
25,Jacoby Brissett,ARI,QB,4,25,26,25,26
26,Drew Lock,SEA,QB,4,26,25,26,25
27,Geno Smith,NYJ,QB,4,27,28,27,27
28,Aaron Rodgers,PIT,QB,4,28,27,28,30
29,Deshaun Watson,CLE,QB,4,30,29,30,28
30,Kirk Cousins,LV,QB,4,29,30,29,31
31,Cam Ward,TEN,QB,4,31,31,31,29
32,Cooper Rush,ATL,QB,4,32,32,32,32
