Rank,Player,Team,Position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Derrick Henry,BAL,RB
4,Kenneth Walker III,KC,RB
5,Christian McCaffrey,SF,RB
6,Jonathan Taylor,IND,RB
7,James Cook,BUF,RB
8,Javonte Williams,DAL,RB
9,Ashton Jeanty,LV,RB
10,Saquon Barkley,PHI,RB
11,Kyren Williams,LAR,RB
12,Jaxon Smith-Njigba,SEA,WR
13,Amon-Ra St. Brown,DET,WR
14,Bucky Irving,TB,RB
15,Omarion Hampton,LAC,RB
16,Breece Hall,NYJ,RB
17,De'Von Achane,MIA,RB
18,David Montgomery,HOU,RB
19,CeeDee Lamb,DAL,WR
20,Ja'Marr Chase,CIN,WR
21,D'Andre Swift,CHI,RB
22,Chase Brown,CIN,RB
23,Justin Jefferson,MIN,WR
24,Aaron Jones,MIN,RB
25,Chuba Hubbard,CAR,RB
26,Rhamondre Stevenson,NE,RB
27,Jadarian Price,SEA,RB
28,George Pickens,DAL,WR
29,MarShawn Lloyd,GB,RB
30,Davante Adams,LAR,WR
31,Chris Olave,NO,WR
32,Cam Skattebo,NYG,RB
33,Jacory Croskey-Merritt,WAS,RB
34,J.K. Dobbins,DEN,RB
35,DJ Moore,BUF,WR
36,Malik Nabers,NYG,WR
37,Garrett Wilson,NYJ,WR
38,Christian Watson,GB,WR
39,Travis Etienne,NO,RB
40,Quinshon Judkins,CLE,RB
41,DeVonta Smith,PHI,WR
42,Bhayshul Tuten,JAC,RB
43,Jameson Williams,DET,WR
44,Tetairoa McMillan,CAR,WR
45,Parker Washington,JAC,WR
46,Jaylen Warren,PIT,RB
47,Rashee Rice,KC,WR
48,Jeremiyah Love,ARI,RB
49,Mike Evans,SF,WR
50,DK Metcalf,PIT,WR
51,Jaylen Waddle,DEN,WR
52,Emeka Egbuka,TB,WR
53,Tee Higgins,CIN,WR
54,Luther Burden,CHI,WR
55,Blake Corum,LAR,RB
56,Drake London,ATL,WR
57,Quentin Johnston,LAC,WR
58,Trey McBride,ARI,TE
59,Terry McLaurin,WAS,WR
