Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:56 PM),Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:51 PM),Sean Koerner (Sun 12:01 PM)
1,Josh Allen,BUF,QB,4,1,1,1,1
2,Lamar Jackson,BAL,QB,4,2,2,2,2
3,Dak Prescott,DAL,QB,4,3,3,3,3
4,Brock Purdy,SF,QB,4,4,4,4,5
5,Caleb Williams,CHI,QB,4,6,7,5,4
6,Jayden Daniels,WAS,QB,4,5,6,7,6
7,Jalen Hurts,PHI,QB,4,7,5,6,7
8,Patrick Mahomes,KC,QB,4,9,8,9,10
9,Drake Maye,NE,QB,4,10,9,8,8
10,Justin Herbert,LAC,QB,4,8,10,10,9
11,Jaxson Dart,NYG,QB,4,11,11,11,12
12,Jared Goff,DET,QB,4,13,14,14,13
13,Trevor Lawrence,JAC,QB,4,12,13,16,17
14,Bo Nix,DEN,QB,4,18,12,12,15
15,Matthew Stafford,LAR,QB,4,14,15,15,14
16,Jordan Love,GB,QB,4,17,16,13,11
17,Baker Mayfield,TB,QB,4,15,18,17,16
18,Joe Burrow,CIN,QB,4,16,17,18,18
19,Bryce Young,CAR,QB,4,19,20,19,19
20,Tyler Shough,NO,QB,4,20,19,20,21
21,C.J. Stroud,HOU,QB,4,21,21,21,20
22,Malik Willis,MIA,QB,4,23,22,22,22
23,Carson Wentz,MIN,QB,4,22,23,23,23
24,Daniel Jones,IND,QB,4,24,24,24,24
25,Drew Lock,SEA,QB,4,26,25,25,25
26,Jacoby Brissett,ARI,QB,4,25,26,26,26
27,Geno Smith,NYJ,QB,4,27,28,27,27
28,Aaron Rodgers,PIT,QB,4,28,27,29,30
29,Deshaun Watson,CLE,QB,4,30,29,28,28
30,Kirk Cousins,LV,QB,4,29,30,31,31
31,Cam Ward,TEN,QB,4,31,31,30,29
32,Cooper Rush,ATL,QB,4,32,32,32,32
