Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Jahmyr Gibbs","DET","RB",1,6,"ACTIVE"
2,"Ja'Marr Chase","CIN","WR",1,6,"ACTIVE"
3,"Puka Nacua","LAR","WR",2,11,"ACTIVE"
4,"Bijan Robinson","ATL","RB",2,11,"ACTIVE"
5,"Christian McCaffrey","SF","RB",3,8,"ACTIVE"
6,"De'Von Achane","MIA","RB",4,6,"ACTIVE"
7,"Amon-Ra St. Brown","DET","WR",3,6,"ACTIVE"
8,"Jonathan Taylor","IND","RB",5,13,"ACTIVE"
9,"Jaxon Smith-Njigba","SEA","WR",4,11,"ACTIVE"
10,"CeeDee Lamb","DAL","WR",5,14,"ACTIVE"
11,"Saquon Barkley","PHI","RB",6,10,"ACTIVE"
12,"Chris Olave","NO","WR",6,8,"ACTIVE"
13,"Omarion Hampton","LAC","RB",7,7,"ACTIVE"
14,"Chase Brown","CIN","RB",8,6,"ACTIVE"
15,"Justin Jefferson","MIN","WR",7,6,"ACTIVE"
16,"Kenneth Walker III","KC","RB",9,5,"ACTIVE"
17,"Javonte Williams","DAL","RB",10,14,"ACTIVE"
18,"Nico Collins","HOU","WR",8,8,"ACTIVE"
19,"George Pickens","DAL","WR",9,14,"ACTIVE"
20,"Derrick Henry","BAL","RB",11,13,"ACTIVE"
21,"James Cook","BUF","RB",12,7,"ACTIVE"
22,"Trey McBride","ARI","TE",1,14,"ACTIVE"
23,"Ashton Jeanty","LV","RB",13,13,"ACTIVE"
24,"Rhamondre Stevenson","NE","RB",14,11,"ACTIVE"
25,"DeVonta Smith","PHI","WR",10,10,"ACTIVE"
26,"A.J. Brown","NE","WR",11,11,"ACTIVE"
27,"Travis Etienne Jr.","NO","RB",15,8,"ACTIVE"
28,"Zay Flowers","BAL","WR",12,13,"ACTIVE"
29,"Tee Higgins","CIN","WR",13,6,"ACTIVE"
30,"Tetairoa McMillan","CAR","WR",14,5,"ACTIVE"
31,"Garrett Wilson","NYJ","WR",15,13,"ACTIVE"
32,"Rashee Rice","KC","WR",16,5,"ACTIVE"
33,"Ladd McConkey","LAC","WR",17,7,"ACTIVE"
34,"Drake London","ATL","WR",18,11,"ACTIVE"
35,"Breece Hall","NYJ","RB",16,13,"ACTIVE"
36,"Davante Adams","LAR","WR",19,11,"ACTIVE"
37,"Luther Burden III","CHI","WR",20,10,"ACTIVE"
38,"D'Andre Swift","CHI","RB",17,10,"ACTIVE"
39,"Kyren Williams","LAR","RB",18,11,"ACTIVE"
40,"Jaylen Waddle","DEN","WR",21,10,"ACTIVE"
41,"Emeka Egbuka","TB","WR",22,10,"ACTIVE"
42,"Jameson Williams","DET","WR",23,6,"ACTIVE"
43,"Malik Nabers","NYG","WR",24,8,"QUEST"
44,"Bucky Irving","TB","RB",19,10,"ACTIVE"
45,"Christian Watson","GB","WR",25,11,"ACTIVE"
46,"Colston Loveland","CHI","TE",2,10,"ACTIVE"
47,"Parker Washington","JAX","WR",26,7,"ACTIVE"
48,"Tyler Warren","IND","TE",3,13,"ACTIVE"
49,"Jaylen Warren","PIT","RB",20,9,"ACTIVE"
50,"D.K. Metcalf","PIT","WR",27,9,"ACTIVE"
51,"Mike Evans","SF","WR",28,8,"ACTIVE"
52,"Sam LaPorta","DET","TE",4,6,"ACTIVE"
53,"Terry McLaurin","WAS","WR",29,7,"ACTIVE"
54,"David Montgomery","HOU","RB",21,8,"ACTIVE"
55,"Tucker Kraft","GB","TE",5,11,"ACTIVE"
56,"Jadarian Price","SEA","RB",22,11,"ACTIVE"
57,"Cam Skattebo","NYG","RB",23,8,"ACTIVE"
58,"DJ Moore","BUF","WR",30,7,"ACTIVE"
59,"Chuba Hubbard","CAR","RB",24,5,"ACTIVE"
60,"Jeremiyah Love","ARI","RB",25,14,"QUEST"
61,"Dallas Goedert","PHI","TE",6,10,"ACTIVE"
62,"Chris Godwin","TB","WR",31,10,"ACTIVE"
63,"Rome Odunze","CHI","WR",32,10,"QUEST"
64,"Quinshon Judkins","CLE","RB",26,11,"ACTIVE"
65,"MarShawn Lloyd","GB","RB",27,11,"ACTIVE"
66,"Quentin Johnston","LAC","WR",33,7,"ACTIVE"
67,"Marvin Harrison Jr.","ARI","WR",34,14,"ACTIVE"
68,"Michael Mayer","LV","TE",7,13,"ACTIVE"
69,"Courtland Sutton","DEN","WR",35,10,"ACTIVE"
70,"Bhayshul Tuten","JAX","RB",28,7,"ACTIVE"
71,"Rico Dowdle","PIT","RB",29,9,"ACTIVE"
72,"Michael Wilson","ARI","WR",36,14,"ACTIVE"
73,"Tony Pollard","TEN","RB",30,9,"ACTIVE"
74,"Juwan Johnson","NO","TE",8,8,"ACTIVE"
75,"Jayden Reed","GB","WR",37,11,"ACTIVE"
76,"Josh Downs","IND","WR",38,13,"ACTIVE"
77,"Harold Fannin Jr.","CLE","TE",9,11,"ACTIVE"
78,"Michael Pittman Jr.","PIT","WR",39,9,"ACTIVE"
79,"Jordan Addison","MIN","WR",40,6,"ACTIVE"
80,"Wan'Dale Robinson","TEN","WR",41,9,"ACTIVE"
81,"Travis Kelce","KC","TE",10,5,"ACTIVE"
82,"Kyle Pitts","ATL","TE",11,11,"ACTIVE"
83,"Mark Andrews","BAL","TE",12,13,"ACTIVE"
84,"Brian Thomas Jr.","JAX","WR",42,7,"ACTIVE"
85,"Isaiah Likely","NYG","TE",13,8,"ACTIVE"
86,"Carnell Tate","TEN","WR",43,9,"ACTIVE"
87,"Jakobi Meyers","JAX","WR",44,7,"ACTIVE"
88,"Tre Tucker","LV","WR",45,13,"ACTIVE"
89,"Matthew Golden","GB","WR",46,11,"ACTIVE"
90,"Kenneth Gainwell","TB","RB",31,10,"ACTIVE"
91,"Alec Pierce","IND","WR",47,13,"ACTIVE"
92,"Jalen Coker","CAR","WR",48,5,"ACTIVE"
93,"Xavier Worthy","KC","WR",49,5,"ACTIVE"
94,"Stefon Diggs","WAS","WR",50,7,"ACTIVE"
95,"Dalton Kincaid","BUF","TE",14,7,"ACTIVE"
96,"J.K. Dobbins","DEN","RB",32,10,"ACTIVE"
97,"George Kittle","SF","TE",15,8,"ACTIVE"
98,"Jake Ferguson","DAL","TE",16,14,"ACTIVE"
99,"Rashid Shaheed","SEA","WR",51,11,"ACTIVE"
100,"Blake Corum","LAR","RB",33,11,"ACTIVE"
101,"Romeo Doubs","NE","WR",52,11,"ACTIVE"
102,"De'Zhaun Stribling","SF","WR",53,8,"ACTIVE"
103,"Khalil Shakir","BUF","WR",54,7,"ACTIVE"
104,"Aaron Jones","MIN","RB",34,6,"ACTIVE"
105,"Hunter Henry","NE","TE",17,11,"ACTIVE"
106,"Jordan Mason","MIN","RB",35,6,"ACTIVE"
107,"KC Concepcion","CLE","WR",55,11,"ACTIVE"
108,"Deebo Samuel","SF","WR",56,8,"ACTIVE"
109,"Rachaad White","WAS","RB",36,7,"ACTIVE"
110,"Dalton Schultz","HOU","TE",18,8,"ACTIVE"
111,"Brenton Strange","JAX","TE",19,7,"ACTIVE"
112,"Devaughn Vele","NO","WR",57,8,"ACTIVE"
113,"Tyjae Spears","TEN","RB",37,9,"ACTIVE"
114,"Jalen Nailor","LV","WR",58,13,"ACTIVE"
115,"Adonai Mitchell","NYJ","WR",59,13,"ACTIVE"
116,"RJ Harvey","DEN","RB",38,10,"ACTIVE"
117,"Chigoziem Okonkwo","WAS","TE",20,7,"ACTIVE"
118,"Dontayvion Wicks","PHI","WR",60,10,"ACTIVE"
119,"Keenan Allen","IND","WR",61,13,"ACTIVE"
120,"T.J. Hockenson","MIN","TE",21,6,"ACTIVE"
121,"Cooper Kupp","SEA","WR",62,11,"ACTIVE"
122,"AJ Barner","SEA","TE",22,11,"ACTIVE"
123,"Makai Lemon","PHI","WR",63,10,"ACTIVE"
124,"Jerry Jeudy","CLE","WR",64,11,"ACTIVE"
125,"Jonathon Brooks","CAR","RB",39,5,"ACTIVE"
126,"Jacory Croskey-Merritt","WAS","RB",40,7,"ACTIVE"
127,"George Holani","SEA","RB",41,11,"ACTIVE"
128,"Terrance Ferguson","LAR","TE",23,11,"ACTIVE"
129,"Denzel Boston","CLE","WR",65,11,"ACTIVE"
130,"Cade Otton","TB","TE",24,10,"ACTIVE"
131,"Kayshon Boutte","HOU","WR",66,8,"ACTIVE"
132,"Pat Freiermuth","PIT","TE",25,9,"ACTIVE"
133,"Malik Washington","MIA","WR",67,6,"ACTIVE"
134,"Tyler Allgeier","ARI","RB",42,14,"ACTIVE"
135,"Tre Harris","LAC","WR",68,7,"ACTIVE"
136,"Ja'Kobi Lane","BAL","WR",69,13,"ACTIVE"
137,"Caleb Douglas","MIA","WR",70,6,"ACTIVE"
138,"Woody Marks","HOU","RB",43,8,"ACTIVE"
139,"Rashod Bateman","BAL","WR",71,13,"ACTIVE"
140,"Charlie Kolar","LAC","TE",26,7,"ACTIVE"
141,"Greg Dulcich","MIA","TE",27,6,"ACTIVE"
142,"Gunnar Helm","TEN","TE",28,9,"ACTIVE"
143,"Kyle Monangai","CHI","RB",44,10,"ACTIVE"
144,"Mike Washington Jr.","LV","RB",45,13,"ACTIVE"
145,"Jauan Jennings","MIN","WR",72,6,"ACTIVE"
146,"Keaton Mitchell","LAC","RB",46,7,"ACTIVE"
147,"Evan Engram","DEN","TE",29,10,"ACTIVE"
148,"Najee Harris","NYG","RB",47,8,"ACTIVE"
149,"Colby Parkinson","LAR","TE",30,11,"ACTIVE"
150,"Malachi Fields","NYG","WR",73,8,"ACTIVE"
151,"Chris Bell","MIA","WR",74,6,"ACTIVE"
152,"Justice Hill","BAL","RB",48,13,"ACTIVE"
153,"Ryan Flournoy","DAL","WR",75,14,"ACTIVE"
154,"Calvin Ridley","TEN","WR",76,9,"ACTIVE"
155,"Dylan Sampson","CLE","RB",49,11,"ACTIVE"
156,"Chris Rodriguez Jr.","JAX","RB",50,7,"ACTIVE"
157,"Pat Bryant","DEN","WR",77,10,"ACTIVE"
158,"Jaylin Noel","HOU","WR",78,8,"ACTIVE"
159,"Demario Douglas","NE","WR",79,11,"ACTIVE"
160,"Mike Gesicki","CIN","TE",31,6,"ACTIVE"
161,"Darnell Mooney","NYG","WR",80,8,"ACTIVE"
162,"Isaac TeSlaa","DET","WR",81,6,"ACTIVE"
163,"Samaje Perine","CIN","RB",51,6,"ACTIVE"
164,"Xavier Legette","CAR","WR",82,5,"ACTIVE"
165,"Xavier Hutchinson","HOU","WR",83,8,"ACTIVE"
166,"Tyquan Thornton","KC","WR",84,5,"ACTIVE"
167,"Jack Bech","LV","WR",85,13,"ACTIVE"
168,"Omar Cooper Jr.","NYJ","WR",86,13,"ACTIVE"
169,"Chris Brooks","GB","RB",52,11,"ACTIVE"
170,"Treylon Burks","WAS","WR",87,7,"ACTIVE"
171,"Braelon Allen","NYJ","RB",53,13,"ACTIVE"
172,"Brian Robinson","ATL","RB",54,11,"ACTIVE"
173,"Darren Waller","CAR","TE",32,5,"ACTIVE"
174,"Andrei Iosivas","CIN","WR",88,6,"ACTIVE"
175,"Emmett Johnson","KC","RB",55,5,"ACTIVE"
176,"Ted Hurst","TB","WR",89,10,"ACTIVE"
177,"Mason Taylor","NYJ","TE",33,13,"ACTIVE"
178,"Germie Bernard","PIT","WR",90,9,"ACTIVE"
179,"Kendrick Bourne","ARI","WR",91,14,"ACTIVE"
180,"Keon Coleman","BUF","WR",92,7,"ACTIVE"
181,"Tank Bigsby","PHI","RB",56,10,"ACTIVE"
182,"Ray Davis","BUF","RB",57,7,"ACTIVE"
183,"Jahan Dotson","ATL","WR",93,11,"ACTIVE"
184,"Jacob Saylors","DET","RB",58,6,"ACTIVE"
185,"Darnell Washington","PIT","TE",34,9,"ACTIVE"
186,"Kalif Raymond","CHI","WR",94,10,"ACTIVE"
187,"Joshua Palmer","BUF","WR",95,7,"ACTIVE"
188,"Bryce Lance","NO","WR",96,8,"ACTIVE"
189,"Tez Johnson","TB","WR",97,10,"ACTIVE"
190,"Zachariah Branch","ATL","WR",98,11,"ACTIVE"
191,"Troy Franklin","DEN","WR",99,10,"ACTIVE"
192,"Jonah Coleman","DEN","RB",59,10,"ACTIVE"
193,"Corey Kiner","NE","RB",60,11,"ACTIVE"
194,"Kenyon Sadiq","NYJ","TE",35,13,"ACTIVE"
195,"Odell Beckham Jr.","NYG","WR",100,8,"ACTIVE"
196,"Kimani Vidal","LAC","RB",61,7,"ACTIVE"
197,"David Njoku","LAC","TE",36,7,"ACTIVE"
198,"KaVontae Turpin","DAL","WR",101,14,"ACTIVE"
199,"Theo Johnson","NYG","TE",37,8,"ACTIVE"
200,"Tyler Higbee","LAR","TE",38,11,"ACTIVE"
201,"Elic Ayomanor","TEN","WR",102,9,"ACTIVE"
202,"Emanuel Wilson","SEA","RB",62,11,"ACTIVE"
203,"Elijah Arroyo","SEA","TE",39,11,"ACTIVE"
204,"Cole Kmet","CHI","TE",40,10,"ACTIVE"
205,"Dawson Knox","BUF","TE",41,7,"ACTIVE"
206,"Kendre Miller","NO","RB",63,8,"ACTIVE"
207,"Dohnte Meyers","CIN","WR",103,6,"ACTIVE"
208,"Jaylen Wright","MIA","RB",64,6,"ACTIVE"
209,"Kyle Williams","NE","WR",104,11,"ACTIVE"
210,"Roman Wilson","PIT","WR",105,9,"ACTIVE"
211,"Kaelon Black","SF","RB",65,8,"ACTIVE"
212,"Oronde Gadsden II","LAC","TE",42,7,"ACTIVE"
213,"Travis Hunter","JAX","WR",106,7,"ACTIVE"
214,"Erick All","CIN","TE",43,6,"ACTIVE"
215,"Marvin Mims Jr.","DEN","WR",107,10,"ACTIVE"
216,"Tyrone Tracy","NYG","RB",66,8,"ACTIVE"
217,"Brashard Smith","KC","RB",67,5,"ACTIVE"
218,"Jalen Tolbert","MIA","WR",108,6,"ACTIVE"
219,"Cyrus Allen","KC","WR",109,5,"ACTIVE"
220,"Jake Tonges","SF","TE",44,8,"ACTIVE"
221,"Demarcus Robinson","SF","WR",110,8,"ACTIVE"
222,"Mack Hollins","NE","WR",111,11,"ACTIVE"
223,"Isaiah Davis","NYJ","RB",68,13,"ACTIVE"
224,"Tommy Tremble","CAR","TE",45,5,"ACTIVE"
225,"Ashton Dulin","IND","WR",112,13,"ACTIVE"
226,"Isaiah Williams","NYJ","WR",113,13,"ACTIVE"
227,"Barion Brown","NO","WR",114,8,"ACTIVE"
228,"Noah Fant","NO","TE",46,8,"ACTIVE"
229,"Noah Gray","KC","TE",47,5,"ACTIVE"
230,"Devontez Walker","BAL","WR",115,13,"QUEST"
231,"Nicholas Singleton","TEN","RB",69,9,"ACTIVE"
232,"Seth McGowan","IND","RB",70,13,"ACTIVE"
233,"Kyle Juszczyk","SF","RB",71,8,"ACTIVE"
234,"Elijah Higgins","ARI","TE",48,14,"ACTIVE"
235,"Kaytron Allen","WAS","RB",72,7,"ACTIVE"
236,"Josh Oliver","MIN","TE",49,6,"ACTIVE"
237,"Eli Raridon","NE","TE",50,11,"ACTIVE"
238,"Kaleb Johnson","GB","RB",73,11,"ACTIVE"
239,"Emari Demercado","DAL","RB",74,14,"ACTIVE"
240,"Ollie Gordon II","MIA","RB",75,6,"ACTIVE"
241,"Demond Claiborne","MIN","RB",76,6,"ACTIVE"
242,"Hunter Luepke","DAL","RB",77,14,"ACTIVE"
243,"Rasheen Ali","BAL","RB",78,13,"ACTIVE"
244,"Devin Singletary","NYG","RB",79,8,"ACTIVE"
245,"Sione Vaki","DET","RB",80,6,"ACTIVE"
246,"Bam Knight","ARI","RB",81,14,"ACTIVE"
247,"Lan Larison","NE","RB",82,11,"ACTIVE"
248,"LeQuint Allen","JAX","RB",83,7,"QUEST"
249,"Dylan Laube","LV","RB",84,13,"ACTIVE"
250,"Ameer Abdullah","JAX","RB",85,7,"ACTIVE"
