Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Jahmyr Gibbs","DET","RB",1,6,"ACTIVE"
2,"Bijan Robinson","ATL","RB",2,11,"ACTIVE"
3,"Christian McCaffrey","SF","RB",3,8,"ACTIVE"
4,"Jonathan Taylor","IND","RB",4,13,"ACTIVE"
6,"De'Von Achane","MIA","RB",5,6,"ACTIVE"
8,"Saquon Barkley","PHI","RB",6,10,"ACTIVE"
10,"Omarion Hampton","LAC","RB",7,7,"ACTIVE"
11,"Derrick Henry","BAL","RB",8,13,"ACTIVE"
12,"Javonte Williams","DAL","RB",9,14,"ACTIVE"
15,"Chase Brown","CIN","RB",10,6,"ACTIVE"
16,"James Cook","BUF","RB",11,7,"ACTIVE"
17,"Kenneth Walker III","KC","RB",12,5,"ACTIVE"
18,"Ashton Jeanty","LV","RB",13,13,"ACTIVE"
20,"Travis Etienne Jr.","NO","RB",14,8,"ACTIVE"
21,"Breece Hall","NYJ","RB",15,13,"ACTIVE"
25,"D'Andre Swift","CHI","RB",16,10,"ACTIVE"
26,"Rhamondre Stevenson","NE","RB",17,11,"ACTIVE"
28,"Kyren Williams","LAR","RB",18,11,"ACTIVE"
35,"Bucky Irving","TB","RB",19,10,"ACTIVE"
37,"David Montgomery","HOU","RB",20,8,"ACTIVE"
41,"Jaylen Warren","PIT","RB",21,9,"ACTIVE"
43,"Jadarian Price","SEA","RB",22,11,"ACTIVE"
47,"Chuba Hubbard","CAR","RB",23,5,"ACTIVE"
49,"Cam Skattebo","NYG","RB",24,8,"ACTIVE"
52,"Jeremiyah Love","ARI","RB",25,14,"QUEST"
53,"Quinshon Judkins","CLE","RB",26,11,"ACTIVE"
58,"MarShawn Lloyd","GB","RB",27,11,"ACTIVE"
59,"Rico Dowdle","PIT","RB",28,9,"ACTIVE"
60,"Tony Pollard","TEN","RB",29,9,"ACTIVE"
64,"Bhayshul Tuten","JAX","RB",30,7,"ACTIVE"
70,"J.K. Dobbins","DEN","RB",31,10,"ACTIVE"
71,"Jordan Mason","MIN","RB",32,6,"ACTIVE"
79,"Kenneth Gainwell","TB","RB",33,10,"ACTIVE"
81,"Aaron Jones","MIN","RB",34,6,"ACTIVE"
82,"Jacory Croskey-Merritt","WAS","RB",35,7,"ACTIVE"
102,"Blake Corum","LAR","RB",36,11,"ACTIVE"
104,"Chris Rodriguez Jr.","JAX","RB",37,7,"ACTIVE"
107,"Jonathon Brooks","CAR","RB",38,5,"ACTIVE"
116,"Rachaad White","WAS","RB",39,7,"ACTIVE"
117,"Tyjae Spears","TEN","RB",40,9,"ACTIVE"
120,"RJ Harvey","DEN","RB",41,10,"ACTIVE"
121,"Tyler Allgeier","ARI","RB",42,14,"ACTIVE"
127,"Kyle Monangai","CHI","RB",43,10,"ACTIVE"
130,"Woody Marks","HOU","RB",44,8,"ACTIVE"
133,"George Holani","SEA","RB",45,11,"ACTIVE"
134,"Mike Washington Jr.","LV","RB",46,13,"ACTIVE"
135,"Keaton Mitchell","LAC","RB",47,7,"ACTIVE"
145,"Najee Harris","NYG","RB",48,8,"ACTIVE"
147,"Justice Hill","BAL","RB",49,13,"ACTIVE"
151,"Braelon Allen","NYJ","RB",50,13,"ACTIVE"
152,"Dylan Sampson","CLE","RB",51,11,"ACTIVE"
154,"Samaje Perine","CIN","RB",52,6,"ACTIVE"
162,"Chris Brooks","GB","RB",53,11,"ACTIVE"
164,"Tank Bigsby","PHI","RB",54,10,"ACTIVE"
165,"Brian Robinson","ATL","RB",55,11,"ACTIVE"
167,"Emmett Johnson","KC","RB",56,5,"ACTIVE"
169,"Kendre Miller","NO","RB",57,8,"ACTIVE"
177,"Ray Davis","BUF","RB",58,7,"ACTIVE"
182,"Jacob Saylors","DET","RB",59,6,"ACTIVE"
184,"Corey Kiner","NE","RB",60,11,"ACTIVE"
187,"Jonah Coleman","DEN","RB",61,10,"ACTIVE"
195,"Kaelon Black","SF","RB",62,8,"ACTIVE"
198,"Kimani Vidal","LAC","RB",63,7,"ACTIVE"
201,"Emanuel Wilson","SEA","RB",64,11,"ACTIVE"
205,"Jaylen Wright","MIA","RB",65,6,"ACTIVE"
207,"Brashard Smith","KC","RB",66,5,"ACTIVE"
214,"Tyrone Tracy","NYG","RB",67,8,"ACTIVE"
217,"Emari Demercado","DAL","RB",68,14,"ACTIVE"
220,"Seth McGowan","IND","RB",69,13,"ACTIVE"
224,"Isaiah Davis","NYJ","RB",70,13,"ACTIVE"
227,"Nicholas Singleton","TEN","RB",71,9,"ACTIVE"
228,"Kaytron Allen","WAS","RB",72,7,"ACTIVE"
235,"Kaleb Johnson","GB","RB",73,11,"ACTIVE"
236,"Kyle Juszczyk","SF","RB",74,8,"ACTIVE"
237,"Ollie Gordon II","MIA","RB",75,6,"ACTIVE"
241,"Rasheen Ali","BAL","RB",76,13,"ACTIVE"
242,"Demond Claiborne","MIN","RB",77,6,"ACTIVE"
243,"Devin Singletary","NYG","RB",78,8,"ACTIVE"
244,"Hunter Luepke","DAL","RB",79,14,"ACTIVE"
245,"Sione Vaki","DET","RB",80,6,"ACTIVE"
246,"Bam Knight","ARI","RB",81,14,"ACTIVE"
247,"Lan Larison","NE","RB",82,11,"ACTIVE"
248,"Tahj Brooks","CIN","RB",83,6,"ACTIVE"
249,"LeQuint Allen","JAX","RB",84,7,"QUEST"
250,"Dylan Laube","LV","RB",85,13,"ACTIVE"
