Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
5,"Ja'Marr Chase","CIN","WR",1,6,"ACTIVE"
7,"Puka Nacua","LAR","WR",2,11,"ACTIVE"
9,"Amon-Ra St. Brown","DET","WR",3,6,"ACTIVE"
13,"Jaxon Smith-Njigba","SEA","WR",4,11,"ACTIVE"
14,"CeeDee Lamb","DAL","WR",5,14,"ACTIVE"
19,"Chris Olave","NO","WR",6,8,"ACTIVE"
22,"Justin Jefferson","MIN","WR",7,6,"ACTIVE"
23,"Nico Collins","HOU","WR",8,8,"ACTIVE"
24,"George Pickens","DAL","WR",9,14,"ACTIVE"
27,"DeVonta Smith","PHI","WR",10,10,"ACTIVE"
29,"A.J. Brown","NE","WR",11,11,"ACTIVE"
30,"Zay Flowers","BAL","WR",12,13,"ACTIVE"
32,"Tee Higgins","CIN","WR",13,6,"ACTIVE"
33,"Tetairoa McMillan","CAR","WR",14,5,"ACTIVE"
34,"Garrett Wilson","NYJ","WR",15,13,"ACTIVE"
36,"Rashee Rice","KC","WR",16,5,"ACTIVE"
38,"Ladd McConkey","LAC","WR",17,7,"ACTIVE"
39,"Drake London","ATL","WR",18,11,"ACTIVE"
40,"Davante Adams","LAR","WR",19,11,"ACTIVE"
42,"Luther Burden III","CHI","WR",20,10,"ACTIVE"
44,"Jaylen Waddle","DEN","WR",21,10,"ACTIVE"
45,"Emeka Egbuka","TB","WR",22,10,"ACTIVE"
46,"Jameson Williams","DET","WR",23,6,"ACTIVE"
48,"Malik Nabers","NYG","WR",24,8,"QUEST"
50,"Christian Watson","GB","WR",25,11,"ACTIVE"
51,"Parker Washington","JAX","WR",26,7,"ACTIVE"
56,"D.K. Metcalf","PIT","WR",27,9,"ACTIVE"
57,"Mike Evans","SF","WR",28,8,"ACTIVE"
61,"Terry McLaurin","WAS","WR",29,7,"ACTIVE"
65,"DJ Moore","BUF","WR",30,7,"ACTIVE"
66,"Chris Godwin","TB","WR",31,10,"ACTIVE"
67,"Rome Odunze","CHI","WR",32,10,"QUEST"
68,"Quentin Johnston","LAC","WR",33,7,"ACTIVE"
72,"Marvin Harrison Jr.","ARI","WR",34,14,"ACTIVE"
73,"Courtland Sutton","DEN","WR",35,10,"ACTIVE"
75,"Michael Wilson","ARI","WR",36,14,"ACTIVE"
77,"Jayden Reed","GB","WR",37,11,"ACTIVE"
80,"Josh Downs","IND","WR",38,13,"ACTIVE"
83,"Michael Pittman Jr.","PIT","WR",39,9,"ACTIVE"
84,"Jordan Addison","MIN","WR",40,6,"ACTIVE"
86,"Wan'Dale Robinson","TEN","WR",41,9,"ACTIVE"
87,"Brian Thomas Jr.","JAX","WR",42,7,"ACTIVE"
88,"Carnell Tate","TEN","WR",43,9,"ACTIVE"
89,"Jakobi Meyers","JAX","WR",44,7,"ACTIVE"
90,"Tre Tucker","LV","WR",45,13,"ACTIVE"
91,"Matthew Golden","GB","WR",46,11,"ACTIVE"
95,"Alec Pierce","IND","WR",47,13,"ACTIVE"
96,"Jalen Coker","CAR","WR",48,5,"ACTIVE"
97,"Xavier Worthy","KC","WR",49,5,"ACTIVE"
98,"Stefon Diggs","WAS","WR",50,7,"ACTIVE"
101,"Rashid Shaheed","SEA","WR",51,11,"ACTIVE"
103,"Romeo Doubs","NE","WR",52,11,"ACTIVE"
105,"De'Zhaun Stribling","SF","WR",53,8,"ACTIVE"
108,"Khalil Shakir","BUF","WR",54,7,"ACTIVE"
109,"Deebo Samuel","SF","WR",55,8,"ACTIVE"
110,"KC Concepcion","CLE","WR",56,11,"ACTIVE"
112,"Devaughn Vele","NO","WR",57,8,"ACTIVE"
115,"Jalen Nailor","LV","WR",58,13,"ACTIVE"
118,"Adonai Mitchell","NYJ","WR",59,13,"ACTIVE"
119,"Dontayvion Wicks","PHI","WR",60,10,"ACTIVE"
122,"Keenan Allen","IND","WR",61,13,"ACTIVE"
123,"Cooper Kupp","SEA","WR",62,11,"ACTIVE"
125,"Makai Lemon","PHI","WR",63,10,"ACTIVE"
126,"Jerry Jeudy","CLE","WR",64,11,"ACTIVE"
136,"Denzel Boston","CLE","WR",65,11,"ACTIVE"
137,"Kayshon Boutte","HOU","WR",66,8,"ACTIVE"
139,"Malik Washington","MIA","WR",67,6,"ACTIVE"
140,"Tre Harris","LAC","WR",68,7,"ACTIVE"
141,"Ja'Kobi Lane","BAL","WR",69,13,"ACTIVE"
143,"Caleb Douglas","MIA","WR",70,6,"ACTIVE"
144,"Rashod Bateman","BAL","WR",71,13,"ACTIVE"
148,"Jauan Jennings","MIN","WR",72,6,"ACTIVE"
153,"Malachi Fields","NYG","WR",73,8,"ACTIVE"
156,"Chris Bell","MIA","WR",74,6,"ACTIVE"
157,"Ryan Flournoy","DAL","WR",75,14,"ACTIVE"
158,"Calvin Ridley","TEN","WR",76,9,"ACTIVE"
159,"Pat Bryant","DEN","WR",77,10,"ACTIVE"
160,"Jaylin Noel","HOU","WR",78,8,"ACTIVE"
161,"Demario Douglas","NE","WR",79,11,"ACTIVE"
163,"Darnell Mooney","NYG","WR",80,8,"ACTIVE"
166,"Isaac TeSlaa","DET","WR",81,6,"ACTIVE"
168,"Xavier Legette","CAR","WR",82,5,"ACTIVE"
170,"Xavier Hutchinson","HOU","WR",83,8,"ACTIVE"
172,"Tyquan Thornton","KC","WR",84,5,"ACTIVE"
173,"Jack Bech","LV","WR",85,13,"ACTIVE"
174,"Omar Cooper Jr.","NYJ","WR",86,13,"ACTIVE"
