Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
31,"Trey McBride","ARI","TE",1,14,"ACTIVE"
54,"Colston Loveland","CHI","TE",2,10,"ACTIVE"
55,"Tyler Warren","IND","TE",3,13,"ACTIVE"
62,"Sam LaPorta","DET","TE",4,6,"ACTIVE"
63,"Tucker Kraft","GB","TE",5,11,"ACTIVE"
69,"Dallas Goedert","PHI","TE",6,10,"ACTIVE"
74,"Michael Mayer","LV","TE",7,13,"ACTIVE"
76,"Juwan Johnson","NO","TE",8,8,"ACTIVE"
78,"Harold Fannin Jr.","CLE","TE",9,11,"ACTIVE"
85,"Travis Kelce","KC","TE",10,5,"ACTIVE"
92,"Kyle Pitts","ATL","TE",11,11,"ACTIVE"
93,"Mark Andrews","BAL","TE",12,13,"ACTIVE"
94,"Isaiah Likely","NYG","TE",13,8,"ACTIVE"
99,"Dalton Kincaid","BUF","TE",14,7,"ACTIVE"
100,"George Kittle","SF","TE",15,8,"ACTIVE"
106,"Jake Ferguson","DAL","TE",16,14,"ACTIVE"
111,"Hunter Henry","NE","TE",17,11,"ACTIVE"
113,"Dalton Schultz","HOU","TE",18,8,"ACTIVE"
114,"Brenton Strange","JAX","TE",19,7,"ACTIVE"
124,"Chigoziem Okonkwo","WAS","TE",20,7,"ACTIVE"
128,"T.J. Hockenson","MIN","TE",21,6,"ACTIVE"
129,"AJ Barner","SEA","TE",22,11,"ACTIVE"
131,"Terrance Ferguson","LAR","TE",23,11,"ACTIVE"
132,"Cade Otton","TB","TE",24,10,"ACTIVE"
138,"Pat Freiermuth","PIT","TE",25,9,"ACTIVE"
142,"Charlie Kolar","LAC","TE",26,7,"ACTIVE"
146,"Greg Dulcich","MIA","TE",27,6,"ACTIVE"
149,"Gunnar Helm","TEN","TE",28,9,"ACTIVE"
150,"Evan Engram","DEN","TE",29,10,"ACTIVE"
155,"Colby Parkinson","LAR","TE",30,11,"ACTIVE"
171,"Mike Gesicki","CIN","TE",31,6,"ACTIVE"
176,"Darren Waller","CAR","TE",32,5,"ACTIVE"
188,"Mason Taylor","NYJ","TE",33,13,"ACTIVE"
190,"Darnell Washington","PIT","TE",34,9,"ACTIVE"
197,"Kenyon Sadiq","NYJ","TE",35,13,"ACTIVE"
199,"David Njoku","LAC","TE",36,7,"ACTIVE"
202,"Theo Johnson","NYG","TE",37,8,"ACTIVE"
203,"Tyler Higbee","LAR","TE",38,11,"ACTIVE"
206,"Elijah Arroyo","SEA","TE",39,11,"ACTIVE"
208,"Cole Kmet","CHI","TE",40,10,"ACTIVE"
210,"Dawson Knox","BUF","TE",41,7,"ACTIVE"
216,"Oronde Gadsden II","LAC","TE",42,7,"ACTIVE"
219,"Erick All","CIN","TE",43,6,"ACTIVE"
223,"Jake Tonges","SF","TE",44,8,"ACTIVE"
226,"Tommy Tremble","CAR","TE",45,5,"ACTIVE"
233,"Noah Fant","NO","TE",46,8,"ACTIVE"
234,"Noah Gray","KC","TE",47,5,"ACTIVE"
238,"Elijah Higgins","ARI","TE",48,14,"ACTIVE"
239,"Josh Oliver","MIN","TE",49,6,"ACTIVE"
240,"Eli Raridon","NE","TE",50,11,"ACTIVE"
