Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,,Josh Allen,BUF,QB,7,,,,
2,,Lamar Jackson,BAL,QB,13,,,,
3,,Jayden Daniels,WAS,QB,7,,,,
4,,Drake Maye,NE,QB,11,,,,
5,,Joe Burrow,CIN,QB,6,,,,
6,,Justin Herbert,LAC,QB,7,,,,
7,,Jalen Hurts,PHI,QB,10,,,,
8,,Caleb Williams,CHI,QB,10,,,,
9,,Trevor Lawrence,JAC,QB,7,,,,
10,,Jaxson Dart,NYG,QB,8,,,,
11,,Dak Prescott,DAL,QB,14,,,,
12,,Brock Purdy,SF,QB,8,,,,
13,,Bo Nix,DEN,QB,10,,,,
14,,Kyler Murray,MIN,QB,6,,,,
15,,Patrick Mahomes II,KC,QB,5,,,,
16,,Matthew Stafford,LAR,QB,11,,,,
17,,Tyler Shough,NO,QB,8,,,,
18,,Jared Goff,DET,QB,6,,,,
19,,Malik Willis,MIA,QB,6,,,,
20,,Baker Mayfield,TB,QB,10,,,,
21,,Jordan Love,GB,QB,11,,,,
22,,Sam Darnold,SEA,QB,11,,,,
23,,Cam Ward,TEN,QB,9,,,,
24,,C.J. Stroud,HOU,QB,8,,,,
25,,Daniel Jones,IND,QB,13,,,,
26,,Bryce Young,CAR,QB,5,,,,
27,,Geno Smith,NYJ,QB,13,,,,
28,,Fernando Mendoza,LV,QB,13,,,,
29,,Aaron Rodgers,PIT,QB,9,,,,
30,,Jacoby Brissett,ARI,QB,14,,,,
31,,Tua Tagovailoa,ATL,QB,11,,,,
32,,Shedeur Sanders,CLE,QB,11,,,,
33,,Deshaun Watson,CLE,QB,11,,,,
34,,Michael Penix Jr.,ATL,QB,11,,,,
35,,Carson Beck,ARI,QB,14,,,,
36,,Kirk Cousins,LV,QB,13,,,,
37,,J.J. McCarthy,MIN,QB,6,,,,
38,,Justin Fields,KC,QB,5,,,,
39,,Marcus Mariota,WAS,QB,7,,,,
40,,Mac Jones,SF,QB,8,,,,
41,,Cade Klubnik,NYJ,QB,13,,,,
42,,Anthony Richardson Sr.,IND,QB,13,,,,
43,,Riley Leonard,IND,QB,13,,,,
44,,Quinn Ewers,MIA,QB,6,,,,
45,,Jarrett Stidham,DEN,QB,10,,,,
46,,Gardner Minshew II,ARI,QB,14,,,,
47,,Tanner McKee,PHI,QB,10,,,,
48,,Tyson Bagent,CHI,QB,10,,,,
49,,Jameis Winston,NYG,QB,8,,,,
50,,Ty Simpson,LAR,QB,11,,,,
51,,Joe Flacco,CIN,QB,6,,,,
52,,Trey Lance,LAC,QB,7,,,,
53,,Tyler Huntley,BAL,QB,13,,,,
54,,Davis Mills,HOU,QB,8,,,,
55,,Tyrod Taylor,GB,QB,11,,,,
56,,Spencer Rattler,NO,QB,8,,,,
57,,Sam Howell,DAL,QB,14,,,,
58,,Andy Dalton,PHI,QB,10,,,,
59,,Drew Lock,SEA,QB,11,,,,
60,,Nick Mullens,JAC,QB,7,,,,
