Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,,Ja'Marr Chase,CIN,WR,6,,,,
2,,Jaxon Smith-Njigba,SEA,WR,11,,,,
3,,Puka Nacua,LAR,WR,11,,,,
4,,CeeDee Lamb,DAL,WR,14,,,,
5,,Amon-Ra St. Brown,DET,WR,6,,,,
6,,Justin Jefferson,MIN,WR,6,,,,
7,,Drake London,ATL,WR,11,,,,
8,,Rashee Rice,KC,WR,5,,,,
9,,Nico Collins,HOU,WR,8,,,,
10,,DeVonta Smith,PHI,WR,10,,,,
11,,A.J. Brown,NE,WR,11,,,,
12,,Chris Olave,NO,WR,8,,,,
13,,George Pickens,DAL,WR,14,,,,
14,,Zay Flowers,BAL,WR,13,,,,
15,,Garrett Wilson,NYJ,WR,13,,,,
16,,Jaylen Waddle,DEN,WR,10,,,,
17,,Tee Higgins,CIN,WR,6,,,,
18,,Tetairoa McMillan,CAR,WR,5,,,,
19,,Malik Nabers,NYG,WR,8,,,,
20,,Luther Burden III,CHI,WR,10,,,,
21,,Terry McLaurin,WAS,WR,7,,,,
22,,Ladd McConkey,LAC,WR,7,,,,
23,,Carnell Tate,TEN,WR,9,,,,
24,,Emeka Egbuka,TB,WR,10,,,,
25,,Davante Adams,LAR,WR,11,,,,
26,,Jameson Williams,DET,WR,6,,,,
27,,DJ Moore,BUF,WR,7,,,,
28,,Parker Washington,JAC,WR,7,,,,
29,,Rome Odunze,CHI,WR,10,,,,
30,,Jordyn Tyson,NO,WR,8,,,,
31,,Makai Lemon,PHI,WR,10,,,,
32,,Mike Evans,SF,WR,8,,,,
33,,Christian Watson,GB,WR,11,,,,
34,,Chris Godwin Jr.,TB,WR,10,,,,
35,,Brian Thomas Jr.,JAC,WR,7,,,,
36,,Josh Downs,IND,WR,13,,,,
37,,Marvin Harrison Jr.,ARI,WR,14,,,,
38,,Courtland Sutton,DEN,WR,10,,,,
39,,DK Metcalf,PIT,WR,9,,,,
40,,Wan'Dale Robinson,TEN,WR,9,,,,
41,,Alec Pierce,IND,WR,13,,,,
42,,Jayden Reed,GB,WR,11,,,,
43,,Quentin Johnston,LAC,WR,7,,,,
44,,Jakobi Meyers,JAC,WR,7,,,,
45,,Ricky Pearsall,SF,WR,8,,,,
46,,Jordan Addison,MIN,WR,6,,,,
47,,Michael Wilson,ARI,WR,14,,,,
48,,Michael Pittman Jr.,PIT,WR,9,,,,
49,,Stefon Diggs,FA,WR,,,,,
50,,Jalen Coker,CAR,WR,5,,,,
51,,Xavier Worthy,KC,WR,5,,,,
