Rank,Player,Team,Position,Sources,Koerner (09/09 07:33 PM ET),Ratcliffe (09/09 08:07 PM ET),DraftSharks (09/09 07:33 PM ET),Nick Mariano (09/09 06:57 PM ET)
1,Ja'Marr Chase,CIN,WR,4,1,1,1,1
2,Puka Nacua,LAR,WR,4,2,2,2,2
3,Jaxon Smith-Njigba,SEA,WR,4,3,3,3,3
4,Amon-Ra St. Brown,DET,WR,4,4,4,4,4
5,A.J. Brown,NE,WR,4,6,6,6,6
6,CeeDee Lamb,DAL,WR,4,5,8,7,5
7,Justin Jefferson,MIN,WR,4,8,5,5,9
8,Nico Collins,HOU,WR,4,7,7,8,7
9,Drake London,ATL,WR,4,11,9,9,8
10,George Pickens,DAL,WR,4,10,10,10,10
11,Chris Olave,NO,WR,4,9,12,12,12
12,Malik Nabers,NYG,WR,4,12,11,14,11
13,DeVonta Smith,PHI,WR,4,13,13,13,13
14,Zay Flowers,BAL,WR,4,14,14,11,14
15,Tee Higgins,CIN,WR,4,15,15,15,15
16,Rashee Rice,KC,WR,4,17,17,16,17
17,Emeka Egbuka,TB,WR,4,16,16,17,22
18,Davante Adams,LAR,WR,4,18,18,18,16
19,Jameson Williams,DET,WR,4,22,19,21,18
20,Ladd McConkey,LAC,WR,4,23,21,20,19
21,Jaylen Waddle,DEN,WR,4,24,20,19,20
22,Garrett Wilson,NYJ,WR,4,21,22,24,23
23,Tetairoa McMillan,CAR,WR,4,20,23,23,27
24,Luther Burden,CHI,WR,4,19,27,27,21
25,Christian Watson,GB,WR,4,27,24,22,26
26,Terry McLaurin,WAS,WR,4,25,25,26,24
27,Rome Odunze,CHI,WR,4,26,26,25,25
28,DJ Moore,BUF,WR,4,28,28,29,28
29,Mike Evans,SF,WR,4,34,29,28,29
30,DK Metcalf,PIT,WR,4,29,30,33,32
31,Parker Washington,JAC,WR,4,32,31,30,30
32,Marvin Harrison,ARI,WR,4,31,32,31,31
33,Alec Pierce,IND,WR,4,33,35,35,37
34,Brian Thomas,JAC,WR,4,30,37,39,35
35,Quentin Johnston,LAC,WR,4,38,33,34,36
36,Carnell Tate,TEN,WR,4,37,34,32,40
37,Courtland Sutton,DEN,WR,4,36,36,37,38
38,Stefon Diggs,WAS,WR,4,35,39,41,41
39,Jayden Reed,GB,WR,4,39,43,36,34
40,Chris Godwin,TB,WR,4,42,42,40,33
41,Michael Pittman,PIT,WR,4,40,40,42,46
42,De'Zhaun Stribling,SF,WR,4,44,38,43,45
43,Romeo Doubs,NE,WR,4,41,44,46,47
44,Josh Downs,IND,WR,4,45,45,44,42
45,Jordan Addison,MIN,WR,4,50,46,38,39
46,Michael Wilson,ARI,WR,4,47,41,45,48
47,Matthew Golden,GB,WR,4,46,50,48,43
48,Xavier Worthy,KC,WR,4,48,49,50,44
49,Jakobi Meyers,JAC,WR,4,49,47,47,53
50,Deebo Samuel,SF,WR,4,43,54,56,50
51,Makai Lemon,PHI,WR,4,52,48,53,52
52,Wan'Dale Robinson,TEN,WR,4,51,51,52,54
53,KC Concepcion,CLE,WR,4,54,53,51,57
54,Jalen Coker,CAR,WR,4,55,55,54,51
55,Tre Tucker,LV,WR,4,57,52,49,58
56,Khalil Shakir,BUF,WR,4,53,57,57,55
57,Rashid Shaheed,SEA,WR,4,60,56,55,49
58,Kayshon Boutte,HOU,WR,4,61,58,58,59
59,Jalen McMillan,TB,WR,4,58,59,61,62
60,Jordyn Tyson,NO,WR,4,56,63,65,56
61,Jalen Nailor,LV,WR,4,59,61,66,64
62,Adonai Mitchell,NYJ,WR,4,62,60,60,68
63,Denzel Boston,CLE,WR,4,67,64,59,60
64,Dontayvion Wicks,PHI,WR,4,68,62,62,69
65,Keenan Allen,IND,WR,4,64,66,69,65
66,Tre' Harris,LAC,WR,4,71,65,64,63
67,Caleb Douglas,MIA,WR,4,66,67,70,67
68,Ryan Flournoy,DAL,WR,4,79,69,63,61
69,Ja'Kobi Lane,BAL,WR,4,70,71,71,72
70,Jerry Jeudy,CLE,WR,4,77,68,67,75
71,Calvin Ridley,TEN,WR,4,72,72,72,74
72,Ted Hurst,TB,WR,4,63,74,91,66
73,Jauan Jennings,MIN,WR,4,74,73,68,77
74,Pat Bryant,DEN,WR,4,78,77,73,71
75,Isaac TeSlaa,DET,WR,4,73,78,78,73
76,Omar Cooper,NYJ,WR,4,76,76,76,83
77,Malachi Fields,NYG,WR,4,83,70,80,80
78,Chris Bell,MIA,WR,4,82,75,77,78
79,Rashod Bateman,BAL,WR,4,80,81,81,70
80,Cyrus Allen,KC,WR,4,69,79,92,79
81,Travis Hunter,JAC,WR,4,65,90,88,88
82,Antonio Williams,WAS,WR,4,75,84,90,82
83,Darnell Mooney,NYG,WR,4,85,82,74,91
84,Jaylin Noel,HOU,WR,4,86,80,82,86
85,Malik Washington,MIA,WR,4,81,83,83,89
86,Zachariah Branch,ATL,WR,4,84,86,85,84
87,Cooper Kupp,SEA,WR,4,88,85,75,92
88,Keon Coleman,BUF,WR,4,87,88,89,87
89,Devaughn Vele,NO,WR,4,92,91,84,81
90,Germie Bernard,PIT,WR,4,91,92,93,76
91,Tyquan Thornton,KC,WR,4,104,87,79,85
92,Andrei Iosivas,CIN,WR,4,102,89,87,90
93,Xavier Legette,CAR,WR,4,94,93,86,100
94,Jahan Dotson,ATL,WR,4,98,96,98,93
95,Tory Horton,SEA,WR,4,96,95,99,99
96,Kyle Williams,NE,WR,4,95,97,100,98
97,Jack Bech,LV,WR,4,93,94,101,106
98,Zavion Thomas,CHI,WR,4,89,101,109,97
99,Tank Dell,HOU,WR,4,90,102,112,95
100,Troy Franklin,DEN,WR,4,101,98,96,109
101,Skyler Bell,BUF,WR,4,100,99,102,104
102,KaVontae Turpin,DAL,WR,4,99,100,103,105
103,DeMario Douglas,NE,WR,4,114,104,95,94
104,Kendrick Bourne,ARI,WR,4,110,108,108,102
105,Marvin Mims,DEN,WR,4,115,103,94,116
106,Malik Benson,LV,WR,4,97,113,128,103
107,Xavier Hutchinson,HOU,WR,4,122,107,97,108
108,Hollywood Brown,PHI,WR,4,108,110,113,114
109,Bryce Lance,NO,WR,4,117,105,104,117
110,Roman Wilson,PIT,WR,4,111,106,111,118
111,Jalen Tolbert,MIA,WR,4,105,112,121,111
112,Elijah Sarratt,BAL,WR,4,107,109,114,127
113,Elic Ayomanor,TEN,WR,4,112,114,110,121
114,Mack Hollins,NE,WR,4,127,116,105,101
115,Chimere Dike,TEN,WR,4,116,115,115,110
116,Odell Beckham,NYG,WR,4,103,118,131,112
117,Brenen Thompson,LAC,WR,4,109,111,124,124
118,Kalif Raymond,CHI,WR,4,133,119,106,107
119,Isaiah Bond,CLE,WR,4,120,117,118,126
120,Joshua Palmer,BUF,WR,4,129,125,125,96
121,Jalen Royals,KC,WR,4,121,120,122,129
122,Treylon Burks,WAS,WR,4,123,124,127,115
123,Colbie Young,CIN,WR,4,113,123,137,123
124,Olamide Zaccheaus,ATL,WR,4,131,121,107,131
125,Jahdae Walker,CHI,WR,4,118,130,144,113
126,Darius Slayton,FA,WR,3,106,-156,119,120
127,Christian Kirk,SF,WR,4,128,122,123,137
128,CJ Daniels,LAR,WR,4,119,128,142,128
129,Luke McCaffrey,WAS,WR,4,135,127,120,132
130,Tez Johnson,TB,WR,4,140,126,116,130
131,Deion Burks,IND,WR,4,124,132,145,125
132,Tutu Atwell,LAR,WR,4,130,129,132,134
133,Isaiah Williams,NYJ,WR,3,126,-157,117,133
134,Devontez Walker,BAL,WR,4,134,134,140,136
135,Kevin Coleman,MIA,WR,4,139,133,130,143
136,Demarcus Robinson,SF,WR,3,-152,136,134,119
137,Savion Williams,GB,WR,4,142,135,129,141
138,Dyami Brown,WAS,WR,4,136,138,141,145
139,Konata Mumpfield,LAR,WR,3,132,-158,126,138
140,Jordan Whittington,LAR,WR,4,147,143,135,135
141,Jaylin Lane,WAS,WR,4,149,140,133,140
142,Kaden Wetjen,PIT,WR,3,125,141,151,-157
143,John Metchie,CAR,WR,4,141,142,143,142
144,Dont'e Thornton,LV,WR,3,-151,131,138,149
145,Ashton Dulin,IND,WR,3,-153,137,136,146
146,Barion Brown,NO,WR,3,-154,139,139,139
147,Jimmy Horn,CAR,WR,3,138,144,148,-159
148,KeAndre Lambert-Smith,LAC,WR,4,148,148,149,154
149,Tai Felton,MIN,WR,3,-155,145,146,151
150,Cedric Tillman,NO,WR,3,146,147,-192,122
151,Dohnte Meyers,CIN,WR,3,144,149,158,-161
152,Reggie Virgil,ARI,WR,2,-156,146,147,-163
153,Jalen Brooks,ARI,WR,3,143,154,172,-160
154,Tay Martin,DET,WR,3,145,-160,166,155
155,Efton Chism,NE,WR,2,-157,150,155,-164
156,Xavier Smith,LAR,WR,2,-159,152,154,-166
157,Brandon Aiyuk,SF,WR,1,137,-159,-191,-158
158,Darius Cooper,PHI,WR,2,-165,-165,156,144
159,Lil'Jordan Humphrey,DEN,WR,2,-160,153,167,-167
160,Skyy Moore,GB,WR,1,-162,-162,150,-169
161,Jacob Cowing,SF,WR,2,-166,-166,157,150
162,LaJohntay Wester,BAL,WR,2,-158,151,180,-165
163,Malachi Corley,CLE,WR,1,-163,-163,152,-170
164,Devin Duvernay,ARI,WR,2,-161,155,173,-168
165,Tim Patrick,NYJ,WR,1,-164,-164,153,-171
166,JuJu Smith-Schuster,FA,WR,1,150,-161,-193,-162
167,Derius Davis,LAC,WR,1,-167,-167,159,-172
168,Josh Cameron,JAC,WR,1,-168,-168,160,-173
169,Arian Smith,NYJ,WR,1,-169,-169,161,-174
170,Laquon Treadwell,IND,WR,2,-174,-174,168,156
171,Elijah Moore,PHI,WR,1,-170,-170,162,-175
172,Jared Wayne,HOU,WR,1,-171,-171,163,-176
173,Jordan Watkins,SF,WR,1,-172,-172,164,-177
174,Jonathan Mingo,DAL,WR,1,-173,-173,165,-178
175,Bo Melton,GB,WR,1,-175,-175,169,-179
176,Kameron Johnson,TB,WR,1,-176,-176,170,-180
177,Camden Brown,DAL,WR,1,-177,-177,171,-181
178,Ben Skowronek,PIT,WR,1,-178,-178,174,-182
179,Montorie Foster,SEA,WR,1,-179,-179,175,-183
180,Tyrell Shavers,BUF,WR,1,-180,-180,176,-184
181,CJ Williams,JAC,WR,1,-181,-181,177,-185
182,J. Michael Sturdivant,GB,WR,1,-182,-182,178,-186
183,Myles Price,MIN,WR,1,-183,-183,179,-187
184,Ke'Shawn Williams,CIN,WR,1,-184,-184,181,-188
185,Tom Kennedy,DET,WR,1,-194,-194,-194,147
186,David Sills,TB,WR,1,-185,-185,182,-189
187,Tyreek Hill,FA,WR,1,-195,-195,-195,148
188,Nikko Remigio,KC,WR,1,-186,-186,183,-190
189,Brycen Tremayne,CAR,WR,1,-187,-187,184,-191
190,Nick Westbrook-Ikhine,IND,WR,1,-196,-196,-196,152
191,Dareke Young,LV,WR,1,-188,-188,185,-192
192,Dominic Lovett,DET,WR,1,-197,-197,-197,153
193,Simi Fehoko,ARI,WR,1,-189,-189,186,-193
194,Chris Blair,ATL,WR,1,-190,-190,187,-194
195,Ryan Miller,MIA,WR,1,-191,-191,188,-195
196,Tylan Wallace,CLE,WR,1,-192,-192,189,-196
197,Braxton Berrios,NYG,WR,1,-193,-193,190,-197
