Rank,Player,Team,Position,Sources,Justin Boone,Patrick Thorman,Jeff Ratcliffe,Sean Koerner
1,Drake Maye,NE,QB,4,1,1,1,1
2,Lamar Jackson,BAL,QB,4,2,3,2,4
3,Patrick Mahomes II,KC,QB,4,4,2,4,2
4,Josh Allen,BUF,QB,4,3,4,3,3
5,Jalen Hurts,PHI,QB,4,5,5,5,5
6,Brock Purdy,SF,QB,4,8,6,6,7
7,Jared Goff,DET,QB,4,7,7,8,6
8,Matthew Stafford,LAR,QB,4,6,8,7,8
9,Jacoby Brissett,ARI,QB,4,9,9,9,12
10,Caleb Williams,CHI,QB,4,10,10,10,9
11,Dak Prescott,DAL,QB,4,11,11,11,10
12,Sam Darnold,SEA,QB,4,12,12,12,14
13,Daniel Jones,IND,QB,4,13,14,13,13
14,Baker Mayfield,TB,QB,4,14,15,15,15
15,Jordan Love,GB,QB,4,15,16,16,11
16,Trevor Lawrence,JAC,QB,4,16,13,14,16
17,Joe Flacco,CIN,QB,4,18,17,17,17
18,Jameis Winston,NYG,QB,4,19,19,19,18
19,Bryce Young,CAR,QB,4,17,20,18,22
20,Mason Rudolph,PIT,QB,4,21,18,20,19
21,Davis Mills,HOU,QB,4,20,21,21,21
22,Tyler Shough,NO,QB,4,22,22,22,23
23,J.J. McCarthy,MIN,QB,4,23,24,23,25
24,Tyrod Taylor,GB,QB,4,24,25,25,20
25,Geno Smith,NYJ,QB,4,25,23,24,24
26,Kirk Cousins,LV,QB,4,26,26,26,26
27,Shedeur Sanders,CLE,QB,4,27,27,27,28
28,Cam Ward,TEN,QB,4,28,28,28,27
