Rank,Player,Team,Position
1,Drake Maye,NE,QB
2,Lamar Jackson,BAL,QB
3,Patrick Mahomes II,KC,QB
4,Josh Allen,BUF,QB
5,Jalen Hurts,PHI,QB
6,Brock Purdy,SF,QB
7,Jared Goff,DET,QB
8,Matthew Stafford,LAR,QB
9,Jacoby Brissett,ARI,QB
10,Caleb Williams,CHI,QB
11,Dak Prescott,DAL,QB
12,Sam Darnold,SEA,QB
13,Daniel Jones,IND,QB
14,Baker Mayfield,TB,QB
15,Jordan Love,GB,QB
16,Trevor Lawrence,JAC,QB
17,Joe Flacco,CIN,QB
18,Jameis Winston,NYG,QB
19,Bryce Young,CAR,QB
20,Mason Rudolph,PIT,QB
21,Davis Mills,HOU,QB
22,Tyler Shough,NO,QB
23,J.J. McCarthy,MIN,QB
24,Tyrod Taylor,GB,QB
25,Geno Smith,NYJ,QB
26,Kirk Cousins,LV,QB
27,Shedeur Sanders,CLE,QB
28,Cam Ward,TEN,QB
