Rank,Player,Team,Position,Sources,Patrick Thorman (Sat 10:45 AM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM),Tyler Orginski (Sat 9:55 AM)
1,Ja'Marr Chase,CIN,WR,4,1,1,1,1
2,Puka Nacua,LAR,WR,4,2,2,2,2
3,Jaxon Smith-Njigba,SEA,WR,4,3,4,3,4
4,Amon-Ra St. Brown,DET,WR,4,4,3,4,3
5,CeeDee Lamb,DAL,WR,4,5,5,5,5
6,Nico Collins,HOU,WR,4,6,7,7,8
7,George Pickens,DAL,WR,4,7,6,6,9
8,Justin Jefferson,MIN,WR,4,8,9,8,7
9,Chris Olave,NO,WR,4,9,8,9,6
10,A.J. Brown,NE,WR,4,12,10,10,12
11,Zay Flowers,BAL,WR,4,10,13,12,10
12,Tee Higgins,CIN,WR,4,11,11,11,13
13,DeVonta Smith,PHI,WR,4,13,12,13,11
14,Davante Adams,LAR,WR,4,14,15,14,18
15,Tetairoa McMillan,CAR,WR,4,15,14,17,15
16,Garrett Wilson,NYJ,WR,4,16,18,18,16
17,Ladd McConkey,LAC,WR,4,17,16,19,19
18,Rashee Rice,KC,WR,4,19,20,20,17
19,Jameson Williams,DET,WR,4,24,17,15,22
20,Drake London,ATL,WR,4,20,21,27,14
21,Jaylen Waddle,DEN,WR,4,23,19,24,20
22,Emeka Egbuka,TB,WR,4,21,25,21,23
23,Luther Burden,CHI,WR,4,27,22,16,25
24,Malik Nabers,NYG,WR,4,25,23,22,21
25,Christian Watson,GB,WR,4,22,24,23,24
26,Parker Washington,JAC,WR,4,18,26,28,26
27,Mike Evans,SF,WR,4,26,28,25,28
28,Terry McLaurin,WAS,WR,4,28,27,29,27
29,DK Metcalf,PIT,WR,4,30,29,26,29
30,DJ Moore,BUF,WR,4,31,31,31,30
31,Quentin Johnston,LAC,WR,4,29,30,33,34
32,Marvin Harrison,ARI,WR,4,34,32,30,33
33,Chris Godwin,TB,WR,4,33,33,32,32
34,Rome Odunze,CHI,WR,4,32,34,35,31
35,Jayden Reed,GB,WR,4,37,35,34,38
36,Courtland Sutton,DEN,WR,4,36,36,38,36
37,Jordan Addison,MIN,WR,4,35,37,36,41
38,Michael Wilson,ARI,WR,4,40,38,39,37
39,Josh Downs,IND,WR,4,39,39,43,35
40,Brian Thomas,JAC,WR,4,41,40,41,39
41,Tre Tucker,LV,WR,4,38,42,37,46
42,Michael Pittman,PIT,WR,4,42,41,46,40
43,Alec Pierce,IND,WR,4,44,43,40,48
44,Wan'Dale Robinson,TEN,WR,4,46,47,45,42
45,Carnell Tate,TEN,WR,4,48,45,44,43
46,Jalen Coker,CAR,WR,4,49,44,42,45
47,Jakobi Meyers,JAC,WR,4,43,48,49,44
48,Matthew Golden,GB,WR,4,45,46,50,47
49,Rashid Shaheed,SEA,WR,4,47,49,54,49
50,Romeo Doubs,NE,WR,4,52,50,47,51
51,Stefon Diggs,WAS,WR,4,53,51,48,50
52,Xavier Worthy,KC,WR,4,50,52,52,52
53,Deebo Samuel,SF,WR,4,51,53,51,56
54,KC Concepcion,CLE,WR,4,54,55,56,53
55,De'Zhaun Stribling,SF,WR,4,58,54,53,55
56,Khalil Shakir,BUF,WR,4,56,56,55,54
57,Jalen Nailor,LV,WR,4,55,57,57,59
58,Devaughn Vele,NO,WR,4,57,58,58,57
59,Adonai Mitchell,NYJ,WR,4,59,59,59,58
60,Keenan Allen,IND,WR,4,61,61,60,62
61,Dontayvion Wicks,PHI,WR,4,62,60,62,60
62,Jerry Jeudy,CLE,WR,4,63,62,65,63
63,Cooper Kupp,SEA,WR,4,64,64,61,66
64,Malik Washington,MIA,WR,4,65,65,63,65
65,Makai Lemon,PHI,WR,4,66,63,68,64
66,Rashod Bateman,BAL,WR,4,60,67,71,69
67,Kayshon Boutte,HOU,WR,4,72,66,64,67
68,Denzel Boston,CLE,WR,4,67,70,75,61
69,Tre' Harris,LAC,WR,4,68,69,66,70
70,Jauan Jennings,MIN,WR,4,70,71,67,71
71,Ja'Kobi Lane,BAL,WR,4,71,68,77,68
72,Pat Bryant,DEN,WR,4,69,74,76,73
73,Calvin Ridley,TEN,WR,4,73,75,72,72
74,Caleb Douglas,MIA,WR,4,77,73,69,75
75,Ryan Flournoy,DAL,WR,4,79,72,70,74
76,Malachi Fields,NYG,WR,4,80,76,73,76
77,Isaac TeSlaa,DET,WR,4,74,77,81,77
78,Chris Bell,MIA,WR,4,81,78,78,78
79,Tyquan Thornton,KC,WR,3,76,82,87,-80
80,Andrei Iosivas,CIN,WR,3,78,81,88,-81
81,DeMario Douglas,NE,WR,3,85,79,79,-85
82,Darnell Mooney,NYG,WR,3,82,80,89,-82
83,Jaylin Noel,HOU,WR,3,83,83,86,-83
84,Xavier Legette,CAR,WR,3,84,84,85,-84
85,Xavier Hutchinson,HOU,WR,3,89,85,80,-89
86,Keon Coleman,BUF,WR,3,87,87,84,-87
87,Jack Bech,LV,WR,3,93,86,82,-93
88,Omar Cooper,NYJ,WR,3,90,88,96,-90
89,Travis Hunter,JAC,WR,3,88,91,98,-88
90,Kalif Raymond,CHI,WR,3,91,92,93,-91
91,Jahan Dotson,ATL,WR,3,86,93,105,-86
92,Kendrick Bourne,ARI,WR,3,94,90,94,-94
93,Roman Wilson,PIT,WR,3,92,101,97,-92
94,Germie Bernard,PIT,WR,3,103,89,92,-103
95,Bryce Lance,NO,WR,3,99,97,102,-99
96,KaVontae Turpin,DAL,WR,3,96,103,103,-96
97,Joshua Palmer,BUF,WR,3,100,96,104,-100
98,Odell Beckham,NYG,WR,3,102,99,99,-102
99,Cyrus Allen,KC,WR,3,95,105,111,-95
100,Elic Ayomanor,TEN,WR,3,97,98,119,-97
101,Kyle Williams,NE,WR,3,114,94,83,-114
102,Ted Hurst,TB,WR,2,75,-166,74,-79
103,Troy Franklin,DEN,WR,3,113,95,91,-113
104,Tez Johnson,TB,WR,3,105,107,95,-105
105,Marvin Mims,DEN,WR,3,101,104,112,-101
106,Zachariah Branch,ATL,WR,3,106,100,109,-106
107,Treylon Burks,WAS,WR,3,98,112,118,-98
108,Demarcus Robinson,SF,WR,3,104,106,113,-104
109,Jalen Tolbert,MIA,WR,3,107,110,100,-107
110,Antonio Williams,WAS,WR,3,117,102,90,-117
111,Ashton Dulin,IND,WR,3,108,109,108,-108
112,Mack Hollins,NE,WR,3,110,108,107,-110
113,Olamide Zaccheaus,ATL,WR,3,109,117,114,-109
114,Jordan Whittington,LAR,WR,3,112,116,116,-112
115,Isaiah Williams,NYJ,WR,3,120,111,106,-120
116,Devontez Walker,BAL,WR,3,111,113,129,-111
117,Hollywood Brown,PHI,WR,3,115,114,121,-115
118,Malik Benson,LV,WR,3,122,115,110,-122
119,Barion Brown,NO,WR,3,116,118,125,-116
120,Brenen Thompson,LAC,WR,3,123,119,117,-123
121,Isaiah Bond,CLE,WR,3,118,123,126,-118
122,Konata Mumpfield,LAR,WR,3,119,121,127,-119
123,Chimere Dike,TEN,WR,3,121,125,123,-121
124,Jimmy Horn,CAR,WR,3,126,124,115,-126
125,Colbie Young,CIN,WR,3,132,122,120,-132
126,Zavion Thomas,CHI,WR,3,129,126,122,-129
127,Xavier Smith,LAR,WR,3,142,120,101,-142
128,Elijah Sarratt,BAL,WR,3,128,129,128,-128
129,Tai Felton,MIN,WR,3,125,130,139,-125
130,Luke McCaffrey,WAS,WR,3,140,128,124,-140
131,Skyler Bell,BUF,WR,3,136,133,133,-136
132,Skyy Moore,GB,WR,3,133,138,136,-133
133,Laquon Treadwell,IND,WR,3,134,140,146,-134
134,Kevin Austin,NO,WR,2,124,-167,131,-124
135,Tom Kennedy,DET,WR,3,130,147,150,-130
136,Jonathan Mingo,DAL,WR,3,135,141,151,-135
137,Dohnte Meyers,CIN,WR,2,127,-168,132,-127
138,Josh Cameron,JAC,WR,2,-151,127,137,-151
139,Jaylin Lane,WAS,WR,3,146,136,140,-146
140,Jahdae Walker,CHI,WR,2,-152,131,134,-152
141,Tay Martin,DET,WR,3,149,144,130,-149
142,John Metchie,CAR,WR,2,-153,132,142,-153
143,KhaDarel Hodge,SF,WR,3,138,145,165,-138
144,Kameron Johnson,TB,WR,3,144,148,147,-144
145,Brycen Tremayne,CAR,WR,3,131,152,174,-131
146,Jalen Royals,KC,WR,2,-155,135,141,-155
147,Darius Cooper,PHI,WR,2,139,137,-180,-139
148,Jalen Brooks,ARI,WR,3,143,150,156,-143
149,Kaden Wetjen,PIT,WR,2,-156,139,149,-156
150,KeAndre Lambert-Smith,LAC,WR,2,-159,146,135,-159
151,Deion Burks,IND,WR,2,-158,143,148,-158
152,Derius Davis,LAC,WR,2,-157,142,157,-157
153,Reggie Virgil,ARI,WR,1,-154,134,-182,-154
154,Devin Duvernay,ARI,WR,2,145,151,-181,-145
155,Dyami Brown,WAS,WR,1,137,-169,-179,-137
156,Jared Wayne,HOU,WR,3,147,160,168,-147
157,Bo Melton,GB,WR,2,-161,153,145,-161
158,Tylan Wallace,CLE,WR,2,-160,149,154,-160
159,Kevin Coleman,MIA,WR,3,150,155,171,-150
160,Braxton Berrios,NYG,WR,2,141,-170,177,-141
161,Ryan Miller,MIA,WR,3,148,162,173,-148
162,Malachi Corley,CLE,WR,2,-162,154,152,-162
163,Chris Moore,BAL,WR,2,-166,159,143,-166
164,Lil'Jordan Humphrey,DEN,WR,2,-164,157,153,-164
165,Jacob Cowing,SF,WR,2,-163,156,167,-163
166,Elijah Moore,PHI,WR,2,-165,158,160,-165
167,Ben Skowronek,PIT,WR,2,-167,161,163,-167
168,Velus Jones,SEA,WR,1,-171,-171,138,-171
169,Nikko Remigio,KC,WR,2,-168,163,161,-168
170,Kaden Davis,CHI,WR,1,-172,-172,144,-172
171,Arian Smith,NYJ,WR,2,-170,165,164,-170
172,Cody White,LV,WR,2,-169,164,170,-169
173,Montorie Foster,SEA,WR,1,-173,-173,155,-173
174,LaJohntay Wester,BAL,WR,1,-174,-174,158,-174
175,Ke'Shawn Williams,CIN,WR,1,-175,-175,159,-175
176,J. Michael Sturdivant,GB,WR,1,-176,-176,162,-176
177,Britain Covey,PHI,WR,1,-177,-177,166,-177
178,Dareke Young,LV,WR,1,-178,-178,169,-178
179,Simi Fehoko,ARI,WR,1,-179,-179,172,-179
180,Chris Blair,ATL,WR,1,-180,-180,175,-180
181,Dalen Cambre,NYG,WR,1,-181,-181,176,-181
182,Greg Dortch,BUF,WR,1,-182,-182,178,-182
