Rank,Player,Team,Position
1,Trey McBride,ARI,TE
2,Colston Loveland,CHI,TE
3,Tyler Warren,IND,TE
4,Sam LaPorta,DET,TE
5,Tucker Kraft,GB,TE
6,Michael Mayer,LV,TE
7,Juwan Johnson,NO,TE
8,Dallas Goedert,PHI,TE
9,Harold Fannin,CLE,TE
10,Travis Kelce,KC,TE
11,Kyle Pitts,ATL,TE
12,Mark Andrews,BAL,TE
13,Isaiah Likely,NYG,TE
14,Dalton Kincaid,BUF,TE
15,Jake Ferguson,DAL,TE
16,George Kittle,SF,TE
17,Dalton Schultz,HOU,TE
18,Hunter Henry,NE,TE
19,Brenton Strange,JAC,TE
20,T.J. Hockenson,MIN,TE
21,AJ Barner,SEA,TE
22,Cade Otton,TB,TE
23,Terrance Ferguson,LAR,TE
24,Chig Okonkwo,WAS,TE
25,Greg Dulcich,MIA,TE
26,Pat Freiermuth,PIT,TE
27,Evan Engram,DEN,TE
28,Gunnar Helm,TEN,TE
29,Colby Parkinson,LAR,TE
30,Mike Gesicki,CIN,TE
31,Darren Waller,CAR,TE
32,Mason Taylor,NYJ,TE
33,Charlie Kolar,LAC,TE
34,Darnell Washington,PIT,TE
35,David Njoku,LAC,TE
36,Oronde Gadsden,LAC,TE
37,Kenyon Sadiq,NYJ,TE
38,Theo Johnson,NYG,TE
39,Tyler Higbee,LAR,TE
40,Cole Kmet,CHI,TE
41,Dawson Knox,BUF,TE
42,Noah Fant,NO,TE
43,Elijah Arroyo,SEA,TE
44,Jake Tonges,SF,TE
45,Tommy Tremble,CAR,TE
46,Noah Gray,KC,TE
47,Elijah Higgins,ARI,TE
48,Josh Oliver,MIN,TE
49,Erick All,CIN,TE
50,Mitchell Evans,CAR,TE
51,Drew Sample,CIN,TE
52,Eli Raridon,NE,TE
53,Daniel Bellinger,TEN,TE
54,Jonnu Smith,GB,TE
55,Adam Trautman,DEN,TE
56,Brevyn Spann-Ford,DAL,TE
57,Ian Thomas,LV,TE
58,Austin Hooper,ATL,TE
59,Mo Alie-Cox,IND,TE
60,Johnny Mundt,PHI,TE
61,Durham Smythe,BAL,TE
62,Will Kacmarek,MIA,TE
63,John Bates,WAS,TE
64,Foster Moreau,HOU,TE
65,Cade Stover,HOU,TE
66,Brock Wright,DET,TE
67,Nate Boerkircher,JAC,TE
68,Josh Whyle,GB,TE
69,Jackson Hawes,BUF,TE
70,Ben Sinnott,WAS,TE
71,Blake Whiteheart,CLE,TE
72,Luke Schoonmaker,DAL,TE
73,Marlin Klein,HOU,TE
74,Matt Hibner,BAL,TE
75,Davis Allen,LAR,TE
76,Drew Ogletree,IND,TE
77,Nate Adkins,DEN,TE
78,Jeremy Ruckert,NYJ,TE
79,Luke Farrell,SF,TE
80,Hunter Long,ARI,TE
81,Tanner Koziol,JAC,TE
82,Payne Durham,TB,TE
83,Charlie Woerner,ATL,TE
84,Quintin Morris,JAC,TE
85,Sam Roush,CHI,TE
86,E.J. Jenkins,PHI,TE
87,Jake Briningstool,KC,TE
88,Kylen Granson,TEN,TE
89,Robert Tonyan,PIT,TE
90,Connor Heyward,LV,TE
91,Jack Endries,CIN,TE
92,Eric Saubert,SEA,TE
93,Gavin Bartholomew,MIN,TE
94,Tanner Hudson,CIN,TE
95,Justin Joly,MIA,TE
96,Carsen Ryan,CLE,TE
97,Ko Kieft,TB,TE
98,David Martin-Robinson,TEN,TE
99,Bauer Sharp,TB,TE
100,Tyler Conklin,DET,TE
101,Dallen Bentley,DEN,TE
102,Carter Runyon,LV,TE
103,Jared Wiley,KC,TE
104,Seydou Traore,MIA,TE
105,Cameron Latu,NE,TE
106,Josh Cuevas,BAL,TE
107,Tanner Arkin,NE,TE
108,Thomas Fidone,NYG,TE
109,Colson Yankoff,WAS,TE
110,Chris Manhertz,NYG,TE
111,Nick Muse,ATL,TE
112,Treyton Welch,NO,TE
