Rank,Player,Team,Position
1,Colston Loveland,CHI,TE
2,Trey McBride,ARI,TE
3,Tyler Warren,IND,TE
4,Tucker Kraft,GB,TE
5,Sam LaPorta,DET,TE
6,Dallas Goedert,PHI,TE
7,Juwan Johnson,NO,TE
8,Harold Fannin,CLE,TE
9,Kyle Pitts,ATL,TE
10,Travis Kelce,KC,TE
11,Mark Andrews,BAL,TE
12,Michael Mayer,LV,TE
13,Isaiah Likely,NYG,TE
14,Dalton Kincaid,BUF,TE
15,George Kittle,SF,TE
16,Hunter Henry,NE,TE
17,Jake Ferguson,DAL,TE
18,Brenton Strange,JAC,TE
19,Dalton Schultz,HOU,TE
20,T.J. Hockenson,MIN,TE
21,AJ Barner,SEA,TE
22,Terrance Ferguson,LAR,TE
23,Cade Otton,TB,TE
24,Pat Freiermuth,PIT,TE
25,Chig Okonkwo,WAS,TE
26,Greg Dulcich,MIA,TE
27,Colby Parkinson,LAR,TE
28,Mike Gesicki,CIN,TE
29,Gunnar Helm,TEN,TE
30,Evan Engram,DEN,TE
31,Charlie Kolar,LAC,TE
32,Darren Waller,CAR,TE
33,Mason Taylor,NYJ,TE
34,Darnell Washington,PIT,TE
35,David Njoku,LAC,TE
36,Theo Johnson,NYG,TE
37,Oronde Gadsden,LAC,TE
38,Tyler Higbee,LAR,TE
39,Cole Kmet,CHI,TE
40,Dawson Knox,BUF,TE
41,Kenyon Sadiq,NYJ,TE
42,Elijah Arroyo,SEA,TE
43,Jake Tonges,SF,TE
44,Noah Fant,NO,TE
45,Tommy Tremble,CAR,TE
46,Noah Gray,KC,TE
47,Josh Oliver,MIN,TE
48,Mitchell Evans,CAR,TE
49,Elijah Higgins,ARI,TE
50,Daniel Bellinger,TEN,TE
51,Eli Raridon,NE,TE
52,Adam Trautman,DEN,TE
53,Drew Sample,CIN,TE
54,Brevyn Spann-Ford,DAL,TE
55,Jonnu Smith,GB,TE
56,Erick All,CIN,TE
57,Ian Thomas,LV,TE
58,Durham Smythe,BAL,TE
59,Mo Alie-Cox,IND,TE
60,Austin Hooper,ATL,TE
61,Foster Moreau,HOU,TE
62,Jackson Hawes,BUF,TE
63,Johnny Mundt,PHI,TE
64,Brock Wright,DET,TE
65,John Bates,WAS,TE
66,Will Kacmarek,MIA,TE
67,Ben Sinnott,WAS,TE
68,Nate Boerkircher,JAC,TE
69,Cade Stover,HOU,TE
70,Josh Whyle,GB,TE
71,Luke Schoonmaker,DAL,TE
72,Matt Hibner,BAL,TE
73,Marlin Klein,HOU,TE
74,Blake Whiteheart,CLE,TE
75,Davis Allen,LAR,TE
76,Nate Adkins,DEN,TE
77,Drew Ogletree,IND,TE
78,Payne Durham,TB,TE
79,Tanner Koziol,JAC,TE
80,Luke Farrell,SF,TE
81,Hunter Long,ARI,TE
82,Sam Roush,CHI,TE
83,Jeremy Ruckert,NYJ,TE
84,Quintin Morris,JAC,TE
85,Jake Briningstool,KC,TE
86,E.J. Jenkins,PHI,TE
87,Charlie Woerner,ATL,TE
88,Kylen Granson,TEN,TE
89,Robert Tonyan,PIT,TE
90,Connor Heyward,LV,TE
91,Jack Endries,CIN,TE
92,Justin Joly,MIA,TE
93,Eric Saubert,SEA,TE
94,Gavin Bartholomew,MIN,TE
95,Nick Muse,ATL,TE
96,Carsen Ryan,CLE,TE
97,Ko Kieft,TB,TE
98,Treyton Welch,NO,TE
99,David Martin-Robinson,TEN,TE
100,Tanner Hudson,CIN,TE
101,Bauer Sharp,TB,TE
102,Tyler Conklin,DET,TE
103,Josh Cuevas,BAL,TE
104,Cameron Latu,NE,TE
105,Seydou Traore,MIA,TE
106,Jared Wiley,KC,TE
107,Thomas Fidone,NYG,TE
108,Dallen Bentley,DEN,TE
109,Carter Runyon,LV,TE
110,Colson Yankoff,WAS,TE
111,Tanner Arkin,NE,TE
112,Chris Manhertz,NYG,TE
