Rank,Player,Team,Position,Sources,Justin Boone (Sun 8:31 AM),Patrick Thorman (Sat 11:04 AM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM)
1,Trey McBride,ARI,TE,4,1,1,1,1
2,Colston Loveland,CHI,TE,4,2,2,2,2
3,Tyler Warren,IND,TE,4,3,3,3,3
4,Sam LaPorta,DET,TE,4,4,4,4,6
5,Tucker Kraft,GB,TE,4,5,8,5,5
6,Michael Mayer,LV,TE,4,7,6,7,4
7,Juwan Johnson,NO,TE,4,8,5,8,8
8,Dallas Goedert,PHI,TE,4,6,7,9,12
9,Harold Fannin,CLE,TE,4,9,9,6,10
10,Travis Kelce,KC,TE,4,10,10,11,7
11,Kyle Pitts,ATL,TE,4,11,11,10,11
12,Mark Andrews,BAL,TE,4,13,14,13,9
13,Isaiah Likely,NYG,TE,4,12,12,12,17
14,Dalton Kincaid,BUF,TE,4,14,15,14,13
15,Jake Ferguson,DAL,TE,4,17,13,15,16
16,George Kittle,SF,TE,4,15,17,17,15
17,Dalton Schultz,HOU,TE,4,18,16,16,19
18,Hunter Henry,NE,TE,4,16,18,18,18
19,Brenton Strange,JAC,TE,4,20,20,19,14
20,T.J. Hockenson,MIN,TE,4,23,19,20,20
21,AJ Barner,SEA,TE,4,21,22,21,22
22,Cade Otton,TB,TE,4,22,21,22,21
23,Terrance Ferguson,LAR,TE,4,19,27,23,27
24,Chig Okonkwo,WAS,TE,4,24,23,24,29
25,Greg Dulcich,MIA,TE,4,25,25,25,24
26,Pat Freiermuth,PIT,TE,4,26,24,26,23
27,Evan Engram,DEN,TE,4,28,26,29,28
28,Gunnar Helm,TEN,TE,4,29,28,28,25
29,Colby Parkinson,LAR,TE,4,27,30,27,30
30,Mike Gesicki,CIN,TE,4,30,31,30,26
31,Darren Waller,CAR,TE,4,31,32,31,34
32,Mason Taylor,NYJ,TE,4,34,29,33,32
33,Charlie Kolar,LAC,TE,4,32,33,32,31
34,Darnell Washington,PIT,TE,3,-36,34,34,33
35,David Njoku,LAC,TE,3,-37,35,35,43
36,Oronde Gadsden,LAC,TE,4,35,41,37,36
37,Kenyon Sadiq,NYJ,TE,4,33,42,36,42
38,Theo Johnson,NYG,TE,3,-39,37,39,39
39,Tyler Higbee,LAR,TE,3,-42,40,38,37
40,Cole Kmet,CHI,TE,3,-41,39,42,38
41,Dawson Knox,BUF,TE,3,-40,38,44,46
42,Noah Fant,NO,TE,3,-43,43,43,35
43,Elijah Arroyo,SEA,TE,3,-45,45,40,40
44,Jake Tonges,SF,TE,3,-44,44,41,45
45,Tommy Tremble,CAR,TE,3,-48,48,45,41
46,Noah Gray,KC,TE,3,-46,46,46,48
47,Elijah Higgins,ARI,TE,3,-47,47,48,49
48,Josh Oliver,MIN,TE,3,-51,51,47,47
49,Erick All,CIN,TE,2,-38,36,-93,44
50,Mitchell Evans,CAR,TE,3,-52,52,52,52
51,Drew Sample,CIN,TE,3,-49,49,55,59
52,Eli Raridon,NE,TE,3,-53,53,49,53
53,Daniel Bellinger,TEN,TE,3,-50,50,50,63
54,Jonnu Smith,GB,TE,3,-56,56,51,56
55,Adam Trautman,DEN,TE,3,-57,57,53,51
