Rank,Player,Team,Position
1,Ja'Marr Chase,CIN,WR
2,Puka Nacua,LAR,WR
3,Jaxon Smith-Njigba,SEA,WR
4,Amon-Ra St. Brown,DET,WR
5,CeeDee Lamb,DAL,WR
6,Nico Collins,HOU,WR
7,George Pickens,DAL,WR
8,Justin Jefferson,MIN,WR
9,Chris Olave,NO,WR
10,A.J. Brown,NE,WR
11,Zay Flowers,BAL,WR
12,Tee Higgins,CIN,WR
13,DeVonta Smith,PHI,WR
14,Davante Adams,LAR,WR
15,Tetairoa McMillan,CAR,WR
16,Garrett Wilson,NYJ,WR
17,Ladd McConkey,LAC,WR
18,Rashee Rice,KC,WR
19,Jameson Williams,DET,WR
20,Drake London,ATL,WR
21,Jaylen Waddle,DEN,WR
22,Emeka Egbuka,TB,WR
23,Luther Burden,CHI,WR
24,Malik Nabers,NYG,WR
25,Christian Watson,GB,WR
26,Parker Washington,JAC,WR
27,Mike Evans,SF,WR
28,Terry McLaurin,WAS,WR
29,DK Metcalf,PIT,WR
30,DJ Moore,BUF,WR
31,Quentin Johnston,LAC,WR
32,Marvin Harrison,ARI,WR
33,Chris Godwin,TB,WR
34,Rome Odunze,CHI,WR
35,Jayden Reed,GB,WR
36,Courtland Sutton,DEN,WR
37,Jordan Addison,MIN,WR
38,Michael Wilson,ARI,WR
39,Josh Downs,IND,WR
40,Brian Thomas,JAC,WR
41,Tre Tucker,LV,WR
42,Michael Pittman,PIT,WR
43,Alec Pierce,IND,WR
44,Wan'Dale Robinson,TEN,WR
45,Carnell Tate,TEN,WR
46,Jalen Coker,CAR,WR
47,Jakobi Meyers,JAC,WR
48,Matthew Golden,GB,WR
49,Rashid Shaheed,SEA,WR
50,Romeo Doubs,NE,WR
51,Stefon Diggs,WAS,WR
52,Xavier Worthy,KC,WR
53,Deebo Samuel,SF,WR
54,KC Concepcion,CLE,WR
55,De'Zhaun Stribling,SF,WR
56,Khalil Shakir,BUF,WR
57,Jalen Nailor,LV,WR
58,Devaughn Vele,NO,WR
59,Adonai Mitchell,NYJ,WR
60,Keenan Allen,IND,WR
61,Dontayvion Wicks,PHI,WR
62,Jerry Jeudy,CLE,WR
63,Cooper Kupp,SEA,WR
64,Malik Washington,MIA,WR
65,Makai Lemon,PHI,WR
66,Rashod Bateman,BAL,WR
67,Kayshon Boutte,HOU,WR
68,Denzel Boston,CLE,WR
69,Tre' Harris,LAC,WR
70,Jauan Jennings,MIN,WR
71,Ja'Kobi Lane,BAL,WR
72,Pat Bryant,DEN,WR
73,Calvin Ridley,TEN,WR
74,Caleb Douglas,MIA,WR
75,Ryan Flournoy,DAL,WR
76,Malachi Fields,NYG,WR
77,Isaac TeSlaa,DET,WR
78,Chris Bell,MIA,WR
79,Tyquan Thornton,KC,WR
80,Andrei Iosivas,CIN,WR
81,DeMario Douglas,NE,WR
82,Darnell Mooney,NYG,WR
83,Jaylin Noel,HOU,WR
84,Xavier Legette,CAR,WR
85,Xavier Hutchinson,HOU,WR
86,Keon Coleman,BUF,WR
87,Jack Bech,LV,WR
88,Omar Cooper,NYJ,WR
89,Travis Hunter,JAC,WR
90,Kalif Raymond,CHI,WR
91,Jahan Dotson,ATL,WR
92,Kendrick Bourne,ARI,WR
93,Roman Wilson,PIT,WR
94,Germie Bernard,PIT,WR
95,Bryce Lance,NO,WR
96,KaVontae Turpin,DAL,WR
97,Joshua Palmer,BUF,WR
98,Odell Beckham,NYG,WR
99,Cyrus Allen,KC,WR
100,Elic Ayomanor,TEN,WR
101,Kyle Williams,NE,WR
102,Ted Hurst,TB,WR
103,Troy Franklin,DEN,WR
104,Tez Johnson,TB,WR
105,Marvin Mims,DEN,WR
106,Zachariah Branch,ATL,WR
107,Treylon Burks,WAS,WR
108,Demarcus Robinson,SF,WR
109,Jalen Tolbert,MIA,WR
110,Antonio Williams,WAS,WR
111,Ashton Dulin,IND,WR
112,Mack Hollins,NE,WR
113,Olamide Zaccheaus,ATL,WR
114,Jordan Whittington,LAR,WR
115,Isaiah Williams,NYJ,WR
116,Devontez Walker,BAL,WR
117,Hollywood Brown,PHI,WR
118,Malik Benson,LV,WR
119,Barion Brown,NO,WR
120,Brenen Thompson,LAC,WR
121,Isaiah Bond,CLE,WR
122,Konata Mumpfield,LAR,WR
123,Chimere Dike,TEN,WR
124,Jimmy Horn,CAR,WR
125,Colbie Young,CIN,WR
126,Zavion Thomas,CHI,WR
127,Xavier Smith,LAR,WR
128,Elijah Sarratt,BAL,WR
129,Tai Felton,MIN,WR
130,Luke McCaffrey,WAS,WR
131,Skyler Bell,BUF,WR
132,Skyy Moore,GB,WR
133,Laquon Treadwell,IND,WR
134,Kevin Austin,NO,WR
135,Tom Kennedy,DET,WR
136,Jonathan Mingo,DAL,WR
137,Dohnte Meyers,CIN,WR
138,Josh Cameron,JAC,WR
139,Jaylin Lane,WAS,WR
140,Jahdae Walker,CHI,WR
141,Tay Martin,DET,WR
142,John Metchie,CAR,WR
143,KhaDarel Hodge,SF,WR
144,Kameron Johnson,TB,WR
145,Brycen Tremayne,CAR,WR
146,Jalen Royals,KC,WR
147,Darius Cooper,PHI,WR
148,Jalen Brooks,ARI,WR
149,Kaden Wetjen,PIT,WR
